Arachis_gene_ID,Lotus_gene_ID,Percent_identity,Alignment_length,Mismatches,Gap_opens,Q_start,Q_end,S_start,S_end,E_value,Bit_score
XM_025750161.2,XM_057584557.1,77.51,249,23,18,130,362,254,485,1.27e-25,119.0
XM_025762536.2,XM_057601252.1,79.469,867,130,22,235,1073,170,1016,7.04e-162,571.0
XM_025747506.2,XM_057598980.1,87.324,639,81,0,253,891,276,914,0.0,732.0
XM_025747504.2,XM_057597327.1,84.68,1077,163,2,344,1419,193,1268,0.0,1074.0
XM_025747504.2,XM_057598979.1,82.555,1049,171,7,341,1377,335,1383,0.0,913.0
XM_025750524.2,XM_057581249.1,83.501,2685,427,15,402,3076,343,3021,0.0,2490.0
XM_025752451.2,XM_057584904.1,86.435,1902,213,25,464,2356,313,2178,0.0,2041.0
XM_025752451.2,XM_057584904.1,86.408,103,11,3,233,335,213,312,9.529999999999999e-23,110.0
XM_025752451.2,XM_057574816.1,79.408,743,147,6,757,1496,389,1128,3.72e-146,520.0
XM_025753345.1,XM_057599568.1,84.482,1379,206,5,227,1598,159,1536,0.0,1354.0
XM_025758164.2,XM_057593136.1,84.626,709,107,2,43,750,96,803,0.0,704.0
XM_025758164.2,XM_057582259.1,73.964,603,142,12,122,718,447,1040,2.79e-59,230.0
XM_025759306.2,XM_057595623.1,88.008,1451,166,6,210,1657,161,1606,0.0,1709.0
XM_025784449.2,XM_057584801.1,85.647,5288,655,66,243,5501,210,5422,0.0,5465.0
XM_025784449.2,XM_057584802.1,86.558,4099,497,34,1437,5501,1,4079,0.0,4468.0
XM_025784449.2,XM_057584803.1,88.44,545,63,0,2119,2663,57,601,0.0,658.0
XM_029288401.1,XM_057597280.1,84.528,795,103,9,385,1176,287,1064,0.0,769.0
XM_029288401.1,XM_057597279.1,84.528,795,103,9,385,1176,283,1060,0.0,769.0
XM_029288401.1,XM_057597281.1,84.528,795,103,9,385,1176,388,1165,0.0,769.0
XM_025760159.2,XM_057598810.1,79.885,1745,320,26,268,2001,289,2013,0.0,1249.0
XM_025760159.2,XM_057598812.1,79.427,1395,256,26,618,2001,403,1777,0.0,957.0
XM_025760159.2,XM_057598812.1,84.615,130,20,0,494,623,3,132,7.120000000000001e-29,130.0
XM_025760159.2,XM_057583674.1,80.427,889,166,8,1088,1972,1346,2230,0.0,671.0
XM_025760159.2,XM_057583673.1,80.427,889,166,8,1088,1972,1444,2328,0.0,671.0
XM_025762381.1,XM_057601906.1,80.977,1372,216,26,287,1649,243,1578,0.0,1046.0
XM_025762761.1,XM_057596072.1,76.95,1423,268,44,124,1509,100,1499,0.0,756.0
XR_003156866.2,XM_057599042.1,81.277,705,111,16,417,1111,528,1221,7.92e-156,551.0
XR_003156866.2,XM_057599041.1,81.081,703,112,17,417,1111,528,1217,4.77e-153,542.0
XR_003156866.2,XM_057599040.1,83.042,572,93,4,417,985,528,1098,2.8900000000000002e-145,516.0
XR_003156866.2,XM_057599037.1,82.474,582,95,5,417,992,528,1108,2.25e-141,503.0
XR_003156866.2,XM_057599039.1,82.609,575,93,5,417,985,528,1101,8.09e-141,501.0
XM_029287394.1,XM_057598377.1,84.66,691,106,0,388,1078,1236,1926,0.0,689.0
XM_025768501.2,XM_057582963.1,81.055,512,85,7,714,1219,777,1282,1.2e-109,398.0
XM_025768501.2,XM_057582964.1,80.469,512,85,8,714,1219,779,1281,1.56e-103,377.0
XM_029296424.1,XM_057582934.1,87.105,822,104,2,239,1059,289,1109,0.0,929.0
XM_029296424.1,XM_057582934.1,90.411,73,7,0,96,168,171,243,3.93e-19,97.1
XM_025773201.2,XM_057563745.1,86.169,723,100,0,231,953,131,853,0.0,782.0
XM_025773201.2,XM_057571965.1,86.667,60,8,0,878,937,731,790,2.5e-10,67.6
XM_025771544.1,XM_057593705.1,90.134,1348,130,3,217,1563,217,1562,0.0,1749.0
XM_025774943.2,XM_057596610.1,79.216,587,109,10,1114,1690,1117,1700,5.1500000000000005e-109,396.0
XM_025832194.2,XM_057575888.1,84.358,179,26,2,2909,3086,1171,1348,4.2399999999999996e-42,174.0
XM_025776166.2,XM_057599016.1,81.752,3414,540,50,1344,4702,1076,4461,0.0,2776.0
XM_025776166.2,XM_057599016.1,83.434,1654,246,19,5354,6986,5194,6840,0.0,1511.0
XM_025776166.2,XM_057599016.1,80.57,597,103,10,4704,5292,4514,5105,4.97e-124,448.0
XM_025776166.2,XM_057559381.1,76.045,1077,230,16,2362,3430,1203,2259,3.71e-150,534.0
XM_025776166.2,XM_057559381.1,76.843,868,195,6,5910,6774,4799,5663,3.78e-135,484.0
XM_025776166.2,XM_057566641.1,87.879,66,6,2,6585,6649,4891,4955,2.7e-12,76.8
XM_025777761.2,XM_057600647.1,83.605,2580,363,37,539,3094,380,2923,0.0,2366.0
XR_003812989.1,XM_057568632.1,86.85,1711,211,12,898,2600,263,1967,0.0,1901.0
XR_003812989.1,XM_057568634.1,86.382,1711,209,17,898,2600,264,1958,0.0,1847.0
XR_003812989.1,XM_057565187.1,86.187,1723,216,12,909,2626,289,1994,0.0,1844.0
XR_003812989.1,XM_057565184.1,86.037,1726,216,13,909,2626,262,1970,0.0,1829.0
XR_003812989.1,XM_057565188.1,86.564,1630,200,13,1002,2626,31,1646,0.0,1779.0
XM_025777577.2,XM_057581048.1,81.611,658,119,2,190,846,217,873,9.66e-154,544.0
XM_025787005.2,XM_057600820.1,86.302,2431,309,18,213,2631,187,2605,0.0,2623.0
XR_003203764.1,XM_057563561.1,88.474,321,35,2,961,1280,540,859,1.9299999999999998e-106,387.0
XR_003203764.1,XM_057563561.1,83.646,373,42,10,420,776,166,535,2.55e-90,333.0
XM_025833171.2,XM_057561122.1,85.455,495,68,2,95,588,122,613,1.85e-144,512.0
XM_029287581.1,XM_057591815.1,79.777,1973,358,31,734,2687,360,2310,0.0,1395.0
XM_029287581.1,XM_057591816.1,81.457,1359,233,12,1337,2687,678,2025,0.0,1096.0
XM_029287581.1,XM_057600023.1,84.085,377,52,5,5498,5871,5163,5534,7.16e-97,357.0
XM_029287581.1,XM_057600023.1,92.308,65,5,0,5141,5205,2217,2281,2.23e-17,93.5
XM_025786815.2,XM_057600651.1,81.175,834,122,18,120,928,150,973,0.0,638.0
XM_025792072.1,XM_057583790.1,91.176,272,24,0,44,315,443,714,5.2499999999999996e-102,370.0
XM_025792072.1,XM_057583788.1,91.176,272,24,0,44,315,532,803,5.2499999999999996e-102,370.0
XM_025792072.1,XM_057583787.1,91.176,272,24,0,44,315,458,729,5.2499999999999996e-102,370.0
XM_025792072.1,XM_057583789.1,91.176,272,24,0,44,315,513,784,5.2499999999999996e-102,370.0
XM_025792072.1,XM_057583792.1,90.809,272,25,0,44,315,531,802,2.4400000000000003e-100,364.0
XM_025792072.1,XM_057583791.1,90.809,272,25,0,44,315,457,728,2.4400000000000003e-100,364.0
XM_025792072.1,XM_057583794.1,90.809,272,25,0,44,315,512,783,2.4400000000000003e-100,364.0
XM_025793348.2,XM_057579496.1,78.234,1144,200,30,125,1244,106,1224,0.0,688.0
XM_025793348.2,XM_057599355.1,79.326,1069,147,42,215,1240,218,1255,0.0,682.0
XM_025793348.2,XM_057599354.1,79.326,1069,147,42,215,1240,194,1231,0.0,682.0
XM_025793348.2,XM_057579498.1,78.344,1099,193,27,168,1244,262,1337,0.0,669.0
XM_025793348.2,XM_057579497.1,78.344,1099,193,27,168,1244,223,1298,0.0,669.0
XR_003816033.1,XM_057597875.1,85.315,143,21,0,1667,1809,441,583,1.9099999999999999e-34,148.0
XM_025797571.1,XM_057590607.1,92.857,42,3,0,632,673,1735,1776,3.25e-08,62.1
XM_025803854.2,XM_057566532.1,84.991,573,82,4,286,856,197,767,2.43e-164,579.0
XM_025803854.2,XM_057566531.1,88.421,190,22,0,667,856,2583,2772,2.81e-59,230.0
XM_025807138.2,XM_057583205.1,85.258,1940,286,0,246,2185,242,2181,0.0,1999.0
XM_025807138.2,XM_057583208.1,83.927,1966,288,6,246,2185,164,2127,0.0,1855.0
XM_025801929.2,XM_057567646.1,85.788,1365,184,7,739,2095,679,2041,0.0,1437.0
XM_025801929.2,XM_057567646.1,81.928,1162,173,16,2338,3480,2281,3424,0.0,948.0
XM_025810275.2,XM_057586443.1,75.91,4998,1022,111,636,5554,679,5573,0.0,2392.0
XM_025810275.2,XM_057586443.1,79.167,1200,225,16,5650,6835,5606,6794,0.0,808.0
XM_025810275.2,XM_057586444.1,76.28,4667,934,106,964,5554,126,4695,0.0,2326.0
XM_025810275.2,XM_057586444.1,80.335,895,160,10,5650,6533,4728,5617,0.0,664.0
XM_025810275.2,XM_057586445.1,76.173,4667,934,107,964,5554,126,4690,0.0,2294.0
XM_025810275.2,XM_057586445.1,80.335,895,160,10,5650,6533,4723,5612,0.0,664.0
XM_025810275.2,XM_057569328.1,75.0,876,198,17,4601,5469,4705,5566,3.79e-105,385.0
XM_025810275.2,XM_057569320.1,75.0,876,198,17,4601,5469,4670,5531,3.79e-105,385.0
XM_025810275.2,XM_057569312.1,75.0,876,198,17,4601,5469,4689,5550,3.79e-105,385.0
XM_025818012.1,XM_057572303.1,79.579,2233,411,33,311,2531,262,2461,0.0,1555.0
XM_025818706.1,XM_057568142.1,81.264,902,129,28,130,1008,72,956,0.0,693.0
XM_029295457.1,XM_057570884.1,81.267,1105,154,24,304,1389,279,1349,0.0,845.0
XM_029295457.1,XM_057570884.1,78.693,352,62,13,1388,1733,1474,1818,9.260000000000001e-57,222.0
XM_029295457.1,XM_057589910.1,79.627,805,128,23,607,1379,337,1137,4.84e-154,545.0
XM_029295457.1,XM_057589909.1,79.627,805,128,23,607,1379,461,1261,4.84e-154,545.0
XM_025827849.1,XM_057559417.1,77.883,1795,347,33,88,1860,80,1846,0.0,1070.0
XM_025750901.2,XM_057571948.1,86.185,4466,603,12,439,4894,263,4724,0.0,4817.0
XM_025750901.2,XM_057571946.1,86.149,4469,602,14,439,4894,264,4728,0.0,4807.0
XM_025784596.2,XM_057563619.1,88.654,1137,128,1,524,1660,354,1489,0.0,1384.0
XM_025785954.1,XM_057598637.1,85.067,3335,482,15,392,3719,446,3771,0.0,3386.0
XM_025802900.2,XM_057584557.1,77.056,231,22,17,122,337,254,468,3.56e-21,104.0
XM_025795852.2,XM_057593248.1,82.907,2580,393,38,295,2862,536,3079,0.0,2278.0
XM_025802939.2,XM_057581570.1,82.014,884,151,8,1299,2178,1452,2331,0.0,745.0
XM_025841696.2,XM_057566192.1,83.733,1002,140,12,712,1691,356,1356,0.0,926.0
XM_025795504.2,XM_057592719.1,81.367,2356,418,16,1102,3442,610,2959,0.0,1899.0
SDMP01000015.1,XM_057591264.1,86.594,3133,394,9,10870050,10873158,95,3225,0.0,3435.0
SDMP01000015.1,XM_057591264.1,93.227,251,17,0,10873337,10873587,3214,3464,2.3900000000000002e-96,370.0
SDMP01000015.1,XM_057591264.1,89.72,107,11,0,10873669,10873775,3459,3565,2.64e-26,137.0
SDMP01000015.1,XM_057591263.1,86.59,3132,394,9,10870051,10873158,1185,4314,0.0,3434.0
SDMP01000015.1,XM_057591263.1,93.227,251,17,0,10873337,10873587,4303,4553,2.3900000000000002e-96,370.0
SDMP01000015.1,XM_057591263.1,89.674,184,18,1,10869776,10869959,1009,1191,3.2699999999999995e-55,233.0
SDMP01000015.1,XM_057591263.1,89.72,107,11,0,10873669,10873775,4548,4654,2.64e-26,137.0
SDMP01000015.1,XM_057594151.1,84.962,3192,474,5,143134669,143137857,613,3801,0.0,3230.0
SDMP01000015.1,XM_057594151.1,84.962,3192,474,5,143167894,143171082,613,3801,0.0,3230.0
SDMP01000015.1,XM_057594151.1,79.194,620,98,19,143138552,143139163,4089,4685,8.48e-106,401.0
SDMP01000015.1,XM_057593313.1,82.23,3354,557,28,148547340,148550669,3732,394,0.0,2856.0
SDMP01000015.1,XM_057594265.1,80.417,3646,669,34,141394194,141397827,4632,1020,0.0,2736.0
SDMP01000015.1,XM_057594265.1,79.236,419,87,0,124415564,124415982,1318,1736,5.32e-73,292.0
SDMP01000015.1,XM_057594265.1,87.755,245,30,0,141397938,141398182,939,695,2.48e-71,287.0
SDMP01000015.1,XM_057594265.1,76.775,521,84,18,141392896,141393411,5711,5223,1.94e-62,257.0
SDMP01000015.1,XM_057594266.1,80.417,3646,669,34,141394194,141397827,4636,1024,0.0,2736.0
SDMP01000015.1,XM_057594266.1,79.236,419,87,0,124415564,124415982,1322,1740,5.32e-73,292.0
SDMP01000015.1,XM_057594266.1,87.755,245,30,0,141397938,141398182,943,699,2.48e-71,287.0
SDMP01000015.1,XM_057594266.1,76.775,521,84,18,141392896,141393411,5715,5227,1.94e-62,257.0
SDMP01000015.1,XM_057592404.1,85.745,2357,310,17,130367352,130369700,1528,3866,0.0,2468.0
SDMP01000015.1,XM_057592404.1,84.066,182,29,0,130364190,130364371,741,922,5.6e-38,176.0
SDMP01000015.1,XM_057592404.1,90.517,116,8,2,130365672,130365784,1034,1149,3.39e-30,150.0
SDMP01000015.1,XM_057590133.1,87.161,2103,265,3,1085057,1087158,3029,931,0.0,2383.0
SDMP01000015.1,XM_057590133.1,75.664,452,87,10,1083387,1083816,3692,3242,2.57e-46,204.0
SDMP01000015.1,XM_057590133.1,87.919,149,18,0,1084518,1084666,3174,3026,5.6e-38,176.0
SDMP01000015.1,XM_057590133.1,88.889,135,10,5,1089615,1089748,539,409,1.57e-33,161.0
SDMP01000015.1,XM_057590133.1,92.593,81,6,0,1088850,1088930,634,554,3.44e-20,117.0
SDMP01000015.1,XM_057594001.1,82.782,2689,411,34,145100236,145102889,3252,581,0.0,2353.0
SDMP01000015.1,XM_057594936.1,85.885,2175,263,22,27833557,27835712,234,2383,0.0,2276.0
SDMP01000015.1,XM_057594935.1,85.885,2175,263,22,27833557,27835712,334,2483,0.0,2276.0
SDMP01000015.1,XM_057593504.1,88.821,1807,192,5,1247923,1249722,1990,187,0.0,2209.0
SDMP01000015.1,XM_057592469.1,86.436,1998,265,6,134633544,134635538,2182,188,0.0,2183.0
SDMP01000015.1,XM_057592469.1,85.106,329,49,0,134632734,134633062,2780,2452,2.4300000000000003e-86,337.0
SDMP01000015.1,XM_057563650.1,79.795,3029,526,51,145100209,145103185,3520,526,0.0,2124.0
SDMP01000015.1,XM_057563649.1,79.795,3029,526,51,145100209,145103185,3561,567,0.0,2124.0
SDMP01000015.1,XM_057594220.1,83.297,2299,371,10,141962077,141964370,2685,395,0.0,2106.0
SDMP01000015.1,XM_057566836.1,84.72,2127,299,10,1085057,1087158,3006,881,0.0,2104.0
SDMP01000015.1,XM_057566836.1,75.881,539,97,20,1083387,1083901,3678,3149,1.5100000000000002e-58,244.0
SDMP01000015.1,XM_057566836.1,87.248,149,19,0,1084518,1084666,3151,3003,2.6e-36,171.0
SDMP01000015.1,XM_057566836.1,92.157,102,8,0,1082722,1082823,3775,3674,1.58e-28,145.0
SDMP01000015.1,XM_057594256.1,83.683,2243,345,19,141499224,141501454,534,2767,0.0,2095.0
SDMP01000015.1,XM_057594200.1,87.952,1768,213,0,142341193,142342960,1953,3720,0.0,2085.0
SDMP01000015.1,XM_057594200.1,86.832,805,106,0,142340290,142341094,1159,1963,0.0,900.0
SDMP01000015.1,XM_057594200.1,85.316,790,94,7,142339175,142339950,372,1153,0.0,797.0
SDMP01000015.1,XM_057571427.1,77.324,3603,769,39,141394241,141397819,4880,1302,0.0,2084.0
SDMP01000015.1,XM_057571427.1,86.667,150,18,2,141399113,141399261,767,619,1.21e-34,165.0
SDMP01000015.1,XM_057593683.1,81.257,2529,466,8,155302787,155305311,2726,202,0.0,2037.0
SDMP01000015.1,XM_057593683.1,83.894,416,58,1,155301828,155302243,3135,2729,6.6e-102,388.0
SDMP01000015.1,XM_057590006.1,83.043,2294,329,40,1631887,1634156,2498,241,0.0,2026.0
SDMP01000015.1,XM_057590453.1,85.191,1992,258,24,3987719,3989696,937,2905,0.0,2010.0
SDMP01000015.1,XM_057590453.1,86.377,690,88,4,8714127,8714816,1620,937,0.0,749.0
SDMP01000015.1,XM_057561533.1,84.839,1992,284,6,134633544,134635532,2219,243,0.0,1989.0
SDMP01000015.1,XM_057575488.1,83.988,2036,312,12,27704672,27706700,490,2518,0.0,1941.0
SDMP01000015.1,XM_057575486.1,83.988,2036,312,12,27704672,27706700,490,2518,0.0,1941.0
SDMP01000015.1,XM_057591875.1,83.414,2056,309,23,37949815,37951858,3017,982,0.0,1879.0
SDMP01000015.1,XM_057600971.1,84.685,1887,252,20,11694490,11696365,2000,140,0.0,1849.0
SDMP01000015.1,XM_057593634.1,83.899,1944,306,5,154457249,154459190,2243,305,0.0,1849.0
SDMP01000015.1,XM_057593634.1,87.379,309,39,0,154456361,154456669,2873,2565,6.7e-92,355.0
SDMP01000015.1,XM_057593634.1,92.169,166,13,0,154457006,154457171,2402,2237,9.100000000000001e-56,235.0
SDMP01000015.1,XM_057593634.1,83.468,248,38,3,154456026,154456272,3111,2866,1.52e-53,228.0
SDMP01000015.1,XM_057593949.1,81.511,2223,385,23,147694125,147696331,2885,673,0.0,1805.0
SDMP01000015.1,XM_057593947.1,81.511,2223,385,23,147694125,147696331,3389,1177,0.0,1805.0
SDMP01000015.1,XM_057590013.1,87.42,1558,188,4,1555965,1557521,2281,731,0.0,1784.0
SDMP01000015.1,XM_057590013.1,90.0,140,14,0,133393717,133393856,870,731,1.1999999999999999e-39,182.0
SDMP01000015.1,XM_057593492.1,81.738,2163,367,23,152010978,152013124,2221,71,0.0,1781.0
SDMP01000015.1,XM_057593468.1,81.998,2122,345,28,151737701,151739799,3307,1200,0.0,1768.0
SDMP01000015.1,XM_057593468.1,81.364,660,107,10,151736948,151737602,4012,3364,1.73e-142,523.0
SDMP01000015.1,XM_057593468.1,84.615,299,46,0,151741174,151741472,973,675,1.14e-74,298.0
SDMP01000015.1,XM_057593468.1,91.736,121,8,2,151736040,151736159,4292,4173,3.37e-35,167.0
SDMP01000015.1,XM_057593467.1,81.998,2122,345,28,151737701,151739799,3698,1591,0.0,1768.0
SDMP01000015.1,XM_057593467.1,81.364,660,107,10,151736948,151737602,4403,3755,1.73e-142,523.0
SDMP01000015.1,XM_057593467.1,84.615,299,46,0,151741174,151741472,1364,1066,1.14e-74,298.0
SDMP01000015.1,XM_057593467.1,91.736,121,8,2,151736040,151736159,4683,4564,3.37e-35,167.0
SDMP01000015.1,XM_057591247.1,79.132,2626,494,38,11141700,11144289,2846,239,0.0,1764.0
SDMP01000015.1,XM_057591247.1,73.68,2481,582,58,11204393,11206833,2846,397,0.0,898.0
SDMP01000015.1,XM_057591247.1,72.755,2617,613,80,11147627,11150194,2846,281,0.0,791.0
SDMP01000015.1,XM_057590760.1,81.394,2209,368,37,24035534,24037722,284,2469,0.0,1762.0
SDMP01000015.1,XM_057600876.1,84.359,1803,263,11,142341193,142342988,1988,3778,0.0,1749.0
SDMP01000015.1,XM_057600876.1,87.608,807,96,4,142340290,142341094,1194,1998,0.0,933.0
SDMP01000015.1,XM_057600876.1,83.249,794,115,8,142339175,142339950,395,1188,0.0,713.0
SDMP01000015.1,XM_057600874.1,84.359,1803,263,11,142341193,142342988,1965,3755,0.0,1749.0
SDMP01000015.1,XM_057600874.1,87.608,807,96,4,142340290,142341094,1171,1975,0.0,933.0
SDMP01000015.1,XM_057600874.1,83.249,794,115,8,142339175,142339950,372,1165,0.0,713.0
SDMP01000015.1,XM_057600873.1,84.359,1803,263,11,142341193,142342988,1924,3714,0.0,1749.0
SDMP01000015.1,XM_057600873.1,87.608,807,96,4,142340290,142341094,1130,1934,0.0,933.0
SDMP01000015.1,XM_057600873.1,83.249,794,115,8,142339175,142339950,331,1124,0.0,713.0
SDMP01000015.1,XM_057600875.1,84.359,1803,263,11,142341193,142342988,1939,3729,0.0,1749.0
SDMP01000015.1,XM_057600875.1,87.608,807,96,4,142340290,142341094,1145,1949,0.0,933.0
SDMP01000015.1,XM_057600875.1,83.249,794,115,8,142339175,142339950,346,1139,0.0,713.0
SDMP01000015.1,XM_057580332.1,84.413,1790,251,22,145692871,145694644,1709,3486,0.0,1735.0
SDMP01000015.1,XM_057580332.1,80.9,1534,259,27,145690766,145692285,203,1716,0.0,1179.0
SDMP01000015.1,XM_057580331.1,84.413,1790,251,22,145692871,145694644,1720,3497,0.0,1735.0
SDMP01000015.1,XM_057580331.1,80.9,1534,259,27,145690766,145692285,214,1727,0.0,1179.0
SDMP01000015.1,XM_057600081.1,84.402,1763,252,14,145692873,145694623,1704,3455,0.0,1711.0
SDMP01000015.1,XM_057592095.1,80.249,2329,401,40,74525034,74527332,2175,4474,0.0,1698.0
SDMP01000015.1,XM_057592095.1,79.638,442,86,4,74521354,74521793,876,1315,1.1400000000000001e-79,315.0
