Arachis_gene_ID,queryarachis_gene_ID,Percent_identity,Alignment_length,Mismatches,Gap_opens,Q_start,Q_end,S_start,S_end,E_value,Bit_score
XM_029287581.1,XM_025749731.2,100.0,128,0,0,5014,5141,4499,4626,1.84e-61,237.0
XM_029287581.1,XM_025749731.2,100.0,128,0,0,4707,4834,4806,4933,1.84e-61,237.0
XM_025786815.2,XM_025786815.3,100.0,1123,0,0,19,1141,1,1123,0.0,2074.0
XM_025792072.1,XM_029293719.1,97.778,45,1,0,319,363,2481,2525,6.76e-15,78.7
XR_003154482.2,XM_025832211.3,93.75,112,4,3,10,120,925,1034,1.95e-40,165.0
XR_003816033.1,XM_025760060.2,95.685,394,17,0,321,714,196,589,0.0,634.0
XM_029288040.1,XM_029288043.1,97.998,849,0,1,526,1357,90,938,0.0,1458.0
XM_025807138.2,XM_025748168.3,98.495,2326,26,1,85,2410,1,2317,0.0,4093.0
XR_003182724.2,XM_025794324.3,96.037,328,10,3,310,635,5882,6208,2.99e-150,531.0
XM_025813292.1,XM_025813292.2,100.0,814,0,0,1,814,59,872,0.0,1504.0
XR_003184261.2,XM_025812240.3,99.391,985,0,2,306,1290,104,1082,0.0,1781.0
XM_025818706.1,XM_025765381.2,97.47,1186,17,2,1,1186,117,1289,0.0,2012.0
XM_025750901.2,XM_025750902.2,99.367,4106,0,1,1,4080,15,4120,0.0,7415.0
XM_025785954.1,XM_025814967.3,95.364,3624,149,7,102,3720,1069,4678,0.0,5744.0
SDMP01000015.1,XM_025799255.3,100.0,3896,0,0,45897378,45901273,4174,279,0.0,7195.0
SDMP01000015.1,XM_025799255.3,100.0,548,0,0,45888403,45888950,4934,4387,0.0,1013.0
SDMP01000015.1,XM_025799255.3,100.0,278,0,0,45901682,45901959,278,1,1.9599999999999998e-140,514.0
SDMP01000015.1,XM_025799255.3,98.54,137,1,1,45889933,45890069,4390,4255,3.6800000000000004e-58,241.0
SDMP01000015.1,XM_025799255.3,100.0,89,0,0,45897201,45897289,4262,4174,2.2800000000000002e-35,165.0
XM_016307587.2,XM_025841100.2,96.491,855,30,0,717,1571,336,1190,0.0,1413.0
XM_016307587.2,XM_025841100.2,90.517,116,7,1,572,683,220,335,6.53e-36,150.0
